Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss
22-06-2013,19,27,22.5,75,10.33774296,4.2
23-06-2013,20,27.1,22.7,80,0,3.808420209
24-06-2013,18,27.6,22.5,77,0,4.5
25-06-2013,18,28.5,22.2,79,0,7.7
26-06-2013,19,27.8,22.1,82,0,7.2
27-06-2013,18,27.6,21.6,78,0,7.4
28-06-2013,19,27.1,21.1,84,0,7.7
29-06-2013,18,27.1,21.3,86,10.33774296,3.8
30-06-2013,19,26.3,21.5,87,1,6.1
01-07-2013,19,27.6,22.4,83,3,5.7
02-07-2013,19,24,19.8,93,0,3
03-07-2013,19,24.8,20.7,92,12,1
04-07-2013,18,23.8,19.7,91,10,1.2
05-07-2013,19,23,21.2,82,2,0.4
06-07-2013,18,25.7,21.5,79,2,0
07-07-2013,17,26.2,21,82,0,3
08-07-2013,18,26.2,21.3,76,0,7.4
09-07-2013,19,25.6,20.9,87,0,6.1
10-07-2013,18,25.1,20.6,92,22,3
11-07-2013,18,25.4,20.9,88,0,1.8
12-07-2013,18,26.1,21,92,19,3.3
13-07-2013,18,23.8,19.7,94,20,5
14-07-2013,17,26.4,21.5,81,76,1.2
15-07-2013,18,24.8,21,86,10.33774296,0.4
16-07-2013,17,26.7,21.9,80,4,2.1
17-07-2013,18,25.8,20.6,87,0,6.6
18-07-2013,19,25.1,20.9,88,1,3.7
19-07-2013,18,26,21.3,83,0,1.8
20-07-2013,18,25.6,20.8,86,0,6.1
21-07-2013,18,24.9,20.4,94,32,1.4
22-07-2013,19,21.2,19.3,95,26,2.6
23-07-2013,17,25.8,22.4,80,34,0
24-07-2013,20,26.1,21.8,91,10.33774296,4.1
25-07-2013,20,27.2,22.5,74,3,3
26-07-2013,19,26.1,22,85,1,3.3
27-07-2013,19,25.6,21.1,86,0,6.8
28-07-2013,19,25.4,21.7,89,7,3.8
29-07-2013,19,25.4,20.9,86,0,1
30-07-2013,18,25.1,20.7,86,0,2.5
31-07-2013,19,24.6,20.4,90,1,4.6
01-08-2013,18,26,20.8,90,26,2.6
02-08-2013,18,26.2,20.9,89,10,5.8
03-08-2013,17,26.4,21.1,89,32,5.7
04-08-2013,17,25.3,20.9,82,0,6.2
05-08-2013,18,25.1,20.9,84,0,4.9
06-08-2013,19,26.2,21.5,88,0,1.2
07-08-2013,19,24.7,20.6,92,10.33774296,4
08-08-2013,18,26.7,21.5,82,11,2
09-08-2013,17,26.2,21.3,79,0,7.4
10-08-2013,18,27.4,21.5,79,0,7
11-08-2013,18,27.4,21.5,79,10.33774296,7.7
12-08-2013,18,27.4,21.3,86,4,7.3
13-08-2013,15,25.5,19.8,74,0,8
14-08-2013,15,27.4,20.1,78,0,8
15-08-2013,18,28,22.2,77,0,7.9
16-08-2013,17,28,21.8,82,0,7.7
17-08-2013,17,26.8,21.3,87,2,7.7
