Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
2013-07-24,"21,6","34,6",27,77.0,0,"4,9",4.0,230.0,0.0,SW
2013-07-25,"22,6","34,4","27,5",78.0,0,"7,6",3.0,180.0,0.0,NW
2013-07-26,"23,4","35,2","28,1",77.0,0,"4,8",2.0,120.0,0.0,N 
2013-07-27,22,"33,2","27,3",79.0,0,"4,2",3.0,340.0,0.0,N 
2013-07-28,"23,4","31,6","26,7",84.0,0,0,2.0,160.0,0.0,N 
2013-07-29,"22,4","33,2","27,2",76.0,0,"6,3",6.0,180.0,1.0,S 
2013-07-30,"23,4",33,"28,3",69.0,0,"4,7",5.0,200.0,1.0,S 
2013-07-31,"23,6","33,2","29,4",63.0,0,"4,4",5.0,180.0,2.0,S 
2013-08-01,"25,8",31,"26,9",77.0,,"0,7",8.0,200.0,2.0,SW
2013-08-02,"25,6",31,"26,5",79.0,,0,8.0,180.0,2.0,S 
2013-08-03,"24,4",33,"27,9",72.0,"0,5","4,8",8.0,180.0,2.0,S 
2013-08-04,"25,8","30,6","27,7",69.0,"7,5","0,4",4.0,200.0,0.0,SW
2013-08-05,23,"31,2","25,9",77.0,,"1,7",9.0,230.0,2.0,SW
2013-08-06,23,"32,8","27,2",77.0,"1,3","0,5",4.0,180.0,0.0,N 
2013-08-07,"24,2","34,4","28,1",74.0,0,"0,1",3.0,230.0,0.0,SW
2013-08-08,"23,8","32,6",28,65.0,1,"4,1",5.0,180.0,1.0,S 
2013-08-09,"22,8","32,8","27,8",71.0,"11,2","3,5",5.0,180.0,2.0,W 
2013-08-10,"22,8","32,6","26,8",80.0,"5,8","3,5",8.0,300.0,1.0,W 
2013-08-11,"22,8","28,2","24,8",90.0,"0,1",1,8.0,350.0,1.0,SE
2013-08-12,"22,2","32,4","25,8",82.0,"6,2","3,2",6.0,240.0,1.0,NW
2013-08-13,"23,4",33,"28,3",68.0,"2,8","4,9",6.0,180.0,2.0,S 
2013-08-14,"22,4","32,6","26,4",76.0,"1,5","2,4",6.0,180.0,2.0,SW
2013-08-15,22,35,"27,3",75.0,0,"6,2",3.0,120.0,0.0,SE
2013-08-16,"22,2","33,2","27,4",77.0,0,"4,4",6.0,360.0,1.0,NW
2013-08-17,"22,8","33,2",27,83.0,0,"3,4",6.0,360.0,1.0,N 
